,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank
30,Mean/Mode,26,MAR,0.5,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
31,KNN,26,MAR,0.5,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
32,Mean/Mode,26,MCAR,0.01,parents,downstream_performance_mean,F1_macro,0.5565556221610825,0.0,0.5566954543554619,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
33,KNN,26,MCAR,0.01,parents,downstream_performance_mean,F1_macro,0.5565556221610825,0.0,0.5566954543554619,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
34,KNN,26,MCAR,0.1,parents,downstream_performance_mean,F1_macro,0.5841115771554549,0.0,0.5740437373812383,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
35,Mean/Mode,26,MCAR,0.1,parents,downstream_performance_mean,F1_macro,0.5902341437497941,0.0,0.5835455172794435,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
36,KNN,26,MCAR,0.3,parents,downstream_performance_mean,F1_macro,0.5411594117885712,0.0,0.5332952216333573,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
37,Mean/Mode,26,MCAR,0.3,parents,downstream_performance_mean,F1_macro,0.5832024929043039,0.0,0.5722873101488385,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
38,Mean/Mode,26,MCAR,0.5,parents,downstream_performance_mean,F1_macro,0.5397910222059906,0.0,0.542446960882267,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
39,KNN,26,MCAR,0.5,parents,downstream_performance_mean,F1_macro,0.5469098487362369,0.0,0.5556448011900321,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
40,Mean/Mode,26,MNAR,0.01,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
41,KNN,26,MNAR,0.01,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
42,Mean/Mode,26,MNAR,0.1,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
43,KNN,26,MNAR,0.1,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
44,Mean/Mode,26,MNAR,0.3,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
45,KNN,26,MNAR,0.3,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
46,Mean/Mode,26,MNAR,0.5,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,1.0
47,KNN,26,MNAR,0.5,parents,downstream_performance_mean,F1_macro,0.5567671915139761,0.0,0.5567671915139761,53,nursery,4320.0,2.0,9.0,12960.0,0.0,9.0,5.0,2.0
48,KNN,30,MAR,0.01,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
49,Mean/Mode,30,MAR,0.01,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
50,KNN,30,MAR,0.1,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
51,Mean/Mode,30,MAR,0.1,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
52,KNN,30,MAR,0.3,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
53,Mean/Mode,30,MAR,0.3,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
54,KNN,30,MAR,0.5,eccen,downstream_performance_mean,F1_macro,0.6808624480020361,0.0,0.6808624480020361,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
55,Mean/Mode,30,MAR,0.5,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
56,KNN,30,MCAR,0.01,eccen,downstream_performance_mean,F1_macro,0.729500171834268,0.0,0.7354299899595976,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,2.0
57,Mean/Mode,30,MCAR,0.01,eccen,downstream_performance_mean,F1_macro,0.7383948990222624,0.0,0.7383948990222624,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0
