,Imputation_Method_average,Imputed_average,Data_Constellation,Downstream Performance Rank Average,Imputation_Method_best,Imputed_best,Downstream Performance Rank Best,Performance Difference Best to Average,Performance Difference Best to Average in Percentage
71,Random Forest,0.9661408746313483,MNAR - 0.5 - 823,3.0,Mean/Mode,0.9661408746313483,1.0,0.0,0.0
72,Random Forest,0.8406385013113177,MAR - 0.01 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
73,Random Forest,0.8406385013113177,MAR - 0.1 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
74,Random Forest,0.8406385013113177,MAR - 0.3 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
75,Random Forest,0.8406385013113177,MAR - 0.5 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
76,Random Forest,0.8398632850555302,MCAR - 0.01 - 847,4.0,Mean/Mode,0.8401216904741261,1.0,0.0002584054185958973,0.030758093919711217
77,Random Forest,0.8473010269668378,MCAR - 0.1 - 847,4.0,VAE,0.8498561750010363,1.0,0.002555148034198429,0.30065652393421904
78,Random Forest,0.8408624384884457,MCAR - 0.3 - 847,3.0,Mean/Mode,0.8411299698947406,1.0,0.0002675314062949852,0.031806191179760746
79,Random Forest,0.8409128824581237,MCAR - 0.5 - 847,1.0,Random Forest,0.8409128824581237,1.0,0.0,0.0
80,Random Forest,0.8406385013113177,MNAR - 0.01 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
81,Random Forest,0.8406385013113177,MNAR - 0.1 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
82,Random Forest,0.8406385013113177,MNAR - 0.3 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
83,Random Forest,0.8406385013113177,MNAR - 0.5 - 847,3.0,Mean/Mode,0.8406385013113177,1.0,0.0,0.0
84,Random Forest,0.513630363206711,MAR - 0.01 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
85,Random Forest,0.513630363206711,MAR - 0.1 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
86,Random Forest,0.513630363206711,MAR - 0.3 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
87,Random Forest,0.513630363206711,MAR - 0.5 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
88,Random Forest,0.5068181818181818,MCAR - 0.01 - 871,2.0,VAE,0.507188130122704,1.0,0.00036994830452219407,0.07294104150913241
89,Random Forest,0.5140040978471342,MCAR - 0.1 - 871,3.0,KNN,0.5161489297198901,1.0,0.002144831872755937,0.4155451555270917
90,Random Forest,0.5198719098598338,MCAR - 0.3 - 871,3.0,VAE,0.5223057073154286,1.0,0.0024337974555947994,0.46597182866412584
91,Random Forest,0.4684964704844345,MCAR - 0.5 - 871,4.0,VAE,0.5120369864213603,1.0,0.04354051593692582,8.503392741456356
92,Random Forest,0.513630363206711,MNAR - 0.01 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
93,Random Forest,0.513630363206711,MNAR - 0.1 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
94,Random Forest,0.513630363206711,MNAR - 0.3 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
95,Random Forest,0.513630363206711,MNAR - 0.5 - 871,2.0,KNN,0.513630363206711,1.0,0.0,0.0
96,Random Forest,0.9929893847364024,MAR - 0.01 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
97,Random Forest,0.9929893847364024,MAR - 0.1 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
98,Random Forest,0.9929893847364024,MAR - 0.3 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
99,Random Forest,0.9929893847364024,MAR - 0.5 - 923,3.0,Mean/Mode,0.9929893847364024,1.0,0.0,0.0
