,Imputation_Method,Task,Missing Type,Missing Fraction,Column,result_type,metric,Baseline,Corrupted,Imputed,Unnamed: 0,name,MajorityClassSize,MinorityClassSize,NumberOfFeatures,NumberOfInstances,NumberOfNumericFeatures,NumberOfCategoricalFeatures,NumberOfClasses,Downstream Performance Rank,Data_Constellation
55,Mean/Mode,30,MAR,0.5,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MAR - 0.5
57,Mean/Mode,30,MCAR,0.01,eccen,downstream_performance_mean,F1_macro,0.7383948990222624,0.0,0.7383948990222624,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.01
59,Mean/Mode,30,MCAR,0.1,eccen,downstream_performance_mean,F1_macro,0.728313551031602,0.0,0.735652280969096,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.1
61,KNN,30,MCAR,0.3,eccen,downstream_performance_mean,F1_macro,0.7222853009784144,0.0,0.7262553079855817,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.3
63,KNN,30,MCAR,0.5,eccen,downstream_performance_mean,F1_macro,0.7693204461625515,0.0,0.7490734100165314,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MCAR - 0.5
65,Mean/Mode,30,MNAR,0.01,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.01
67,Mean/Mode,30,MNAR,0.1,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.1
69,Mean/Mode,30,MNAR,0.3,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.3
71,Mean/Mode,30,MNAR,0.5,eccen,downstream_performance_mean,F1_macro,0.6974384245173985,0.0,0.6974384245173985,48,page-blocks,4913.0,28.0,11.0,5473.0,10.0,1.0,5.0,1.0,MNAR - 0.5
73,KNN,32,MAR,0.01,input4,downstream_performance_mean,F1_macro,0.9320093851599888,0.0,0.9320093851599888,55,pendigits,1144.0,1055.0,17.0,10992.0,16.0,1.0,10.0,1.0,MAR - 0.01
