,baseline,corrupted,imputed
F1_micro,1.3597399555105182e-16,0.0,0.007401926528072099
F1_macro,1.3597399555105182e-16,0.0,0.006519036704441004
F1_weighted,1.3597399555105182e-16,0.0,0.007271791602731355
